RES_ID,RESPONSE,LABEL,RESPONSE_CLN,count_word,count_word_cln,avg_word_length,avg_word_length_cln,is_berpindah,is_tantangan,is_komunikasi,is_ekonomi,is_sosial,is_adaptasi,is_pindah,is_suasana,is_baru,is_sulit,RESPOND_USED
TRA1,intetraksi/beradaptasi terhadap lingkungan yang baru.,1,intetraksi beradaptasi lingkungan,5,3,9.8,10.333333333333334,0,0,0,0,0,1,0,0,0,0,intetraksi beradaptasi lingkungan 0 0 0 0 0 0 0 0 0 0
TRA2,seperti jatuhnya meteor tsunami gempa bumi,0,jatuhnya meteor tsunami gempa bumi,6,5,6.166666666666667,6.0,0,0,0,0,0,0,0,0,0,0,jatuhnya meteor tsunami gempa bumi 0 0 0 0 0 0 0 0
TRA3,hanya tuhan yang tahu tantangan nya itu apaan,0,tuhan tantangan,8,2,4.75,7.0,0,1,0,0,0,0,0,0,0,0,tuhan tantangan 0 0 0 0 0 0 0 0 0 0 0
TRA4,mereka akan sulit beradaptasi,1,sulit beradaptasi,4,2,6.5,8.0,0,0,0,0,0,1,0,0,0,1,sulit beradaptasi 0 0 0 0 0 0 0 0 0 0 0
TRA5,"Tempat tinggal, ekonomi, dan pekerjaan",1,tinggal ekonomi pekerjaan,5,3,6.8,7.666666666666667,0,0,0,1,0,0,0,0,0,0,tinggal ekonomi pekerjaan 0 0 0 0 0 0 0 0 0 0
TRA6,akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.,1,terganggu kesehatanya merekanperlu beradaptasi lingkungan,11,5,7.636363636363637,10.6,0,0,0,0,0,1,0,0,0,0,terganggu kesehatanya merekanperlu beradaptasi lingkungan 0 0 0 0 0 0 0 0
TRA7,Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama,0,hormati orang layaknya hormati tinggal,18,5,5.0,6.8,0,0,0,0,0,0,0,0,0,0,hormati orang layaknya hormati tinggal 0 0 0 0 0 0 0 0
TRA8,mereka akan kehilangan lahan pertanian.,1,kehilangan lahan pertanian,5,3,7.0,8.0,0,0,0,0,0,0,0,0,0,0,kehilangan lahan pertanian 0 0 0 0 0 0 0 0 0 0
TRA9,"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.",0,salah satunya travina warga dipaksa pengungsi iklim pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan,29,17,7.0344827586206895,7.294117647058823,0,0,0,0,0,0,0,0,0,0,salah satunya travina warga dipaksa pengungsi iklim pengungsi iklim orang orang terpaksa meninggalkan
TRA10,mendapat musibah dan melawannya,0,musibah melawannya,4,2,7.0,8.5,0,0,0,0,0,0,0,0,0,0,musibah melawannya 0 0 0 0 0 0 0 0 0 0 0
TRA11,karena mereka butuh tempat tinggal baru,1,butuh tinggal,6,2,5.666666666666667,6.0,0,0,0,0,0,0,0,0,0,0,butuh tinggal 0 0 0 0 0 0 0 0 0 0 0
TRA12,Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.,0,kehilangan tinggal komunitas bencana alam,11,5,6.0,7.4,0,0,0,0,0,0,0,0,0,0,kehilangan tinggal komunitas bencana alam 0 0 0 0 0 0 0 0
TRA13,mereka akan pindah ke tempat yang dulu,0,pindah,7,1,4.571428571428571,6.0,0,0,0,0,0,0,1,0,0,0,pindah 0 0 0 0 0 0 0 0 0 0 0 0
TRA14,beradaptasi,1,beradaptasi,1,1,11.0,11.0,0,0,0,0,0,1,0,0,0,0,beradaptasi 0 0 0 0 0 0 0 0 0 0 0 0
TRA15,Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan,13,10,7.538461538461538,7.9,0,0,0,0,0,0,0,0,0,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan 0 0 0
TRA16,karna mereka tidak mau terkena iklim yang sangat beser,0,karna terkena iklim beser,9,4,5.111111111111111,5.5,0,0,0,0,0,0,0,0,0,0,karna terkena iklim beser 0 0 0 0 0 0 0 0 0
TRA17,keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu,1,memadai kurangnya fasilitas pengungsian kegiatan maknanya bebas,23,7,6.478260869565218,8.142857142857142,0,0,0,0,0,0,0,0,0,0,memadai kurangnya fasilitas pengungsian kegiatan maknanya bebas 0 0 0 0 0 0
