RES_ID,RESPONSE,LABEL,RESPONSE_CLN,RESPONSE_CLN2,count_word,count_word_cln,count_word_cln2,avg_word_length,avg_word_length_cln,is_sumbang,is_kerja,is_upaya,is_memilih,is_pabrik,is_membantu,is_orang,is_pekerja,is_produksi,is_menyumbang,is_beretika,is_layak,is_pakaian,is_konsumen,is_pahala,is_kondisi,is_membutuhkan,is_karena,count_stopwords,count_topwords,RESPOND_USED
TRB1,Karena orang berpikir bahwa jika disumbangkan akan membuat produksi pakaian menjadi lebih beretika,1,orang berpikir disumbangkan produksi pakaian beretika,karena orang berpikir bahwa jika disumbangkan akan membuat produksi pakaian menjadi lebih beretika,13,6,13,6.615384615384615,8.0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,7,4,karena orang berpikir bahwa jika disumbangkan akan membuat produksi pakaian menjadi lebih beretika 0 0
TRB2,"Pakaian awet adalah alternatif terhadap Fast Fashion. Pakaian awet lebih mahal biaya produksi dan harga belinya, tetapi karena pakaian itu dibuat untuk bertahan lebih lama, maka yang dibuat pun menjadi lebih sedikit. Kita sebagai konsumen harus menolak tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika.",0,pakaian awet alternatif fast fashion pakaian awet mahal biaya produksi harga belinya pakaian bertahan konsumen menolak tren fast fashion membeli pakaian awet sesuai etika,pakaian awet adalah alternatif terhadap fast fashion pakaian awet lebih mahal biaya produksi harga belinya tetapi karena pakaian dibuat untuk bertahan lebih lama maka yang dibuat menjadi lebih sedikit kita sebagai konsumen harus menolak tren fast fashion membeli pakaian yang lebih awet dibuat sesuai etika,50,24,45,5.64,6.125,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,24,6,pakaian awet adalah alternatif terhadap fast fashion pakaian awet lebih mahal biaya produksi harga belinya
TRB3,karna orang lebih suka menyumbang,1,orang suka menyumbang,karna orang lebih suka menyumbang,5,3,5,5.8,6.333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,karna orang lebih suka menyumbang 0 0 0 0 0 0 0 0 0 0
TRB4,karana harga nya terjangkau dan pas.,0,harga terjangkau pas,karana harga terjangkau,6,3,3,5.166666666666667,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,karana harga terjangkau 0 0 0 0 0 0 0 0 0 0 0 0
TRB5,kerena harganya mahal .,0,kerena harganya mahal,kerena harganya mahal,4,3,3,5.0,6.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kerena harganya mahal 0 0 0 0 0 0 0 0 0 0 0 0
TRB6,agar orang yg memerlukan juga bisa mempunyai baju seperti kita,0,orang baju,agar orang memerlukan juga bisa mempunyai baju seperti kita,10,2,9,5.3,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,agar orang memerlukan juga bisa mempunyai baju seperti kita 0 0 0 0 0 0
TRB7,Karena melihat kondisi para pegawai,0,kondisi pegawai,karena melihat kondisi para pegawai,5,2,5,6.2,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,karena melihat kondisi para pegawai 0 0 0 0 0 0 0 0 0 0
TRB8,karena dia kasihan,1,kasihan,karena kasihan,3,1,2,5.333333333333333,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,karena kasihan 0 0 0 0 0 0 0 0 0 0 0 0 0
TRB9,karena memiliki pakaian yang melebihi atau sudah tidak layak dipakai pribadi,0,memiliki pakaian melebihi layak dipakai pribadi,karena memiliki pakaian yang melebihi atau sudah tidak layak dipakai pribadi,11,6,11,6.0,7.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,2,karena memiliki pakaian yang melebihi atau sudah tidak layak dipakai pribadi 0 0 0 0
TRB10,"karna mereka prihatin dengan para pekerja yang bekerja di sebuah pabrik pakaian ,karna pabrik pakaian tersebut sudah ingin bangkrut",1,prihatin pekerja pabrik pakaian pabrik pakaian bangkrut,karna mereka prihatin dengan para pekerja yang bekerja sebuah pabrik pakaian karna pabrik pakaian tersebut sudah ingin bangkrut,19,7,18,5.947368421052632,7.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,11,5,karna mereka prihatin dengan para pekerja yang bekerja sebuah pabrik pakaian karna pabrik pakaian tersebut
